Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2017 07 03;25.6;30.3;19.8;10.5
2017 07 04;30.9;37.8;24.8;13
2017 07 05;35.3;42.6;28;14.6
2017 07 06;37.3;50.1;27.2;22.9
2017 07 07;39.7;53;28.7;24.3
2017 07 08;43.4;55.5;34.2;21.3
2017 07 09;42.1;51.7;33.1;18.6
2017 07 10;39.6;50.5;31.1;19.4
2017 07 11;38.8;49;30.5;18.5
2017 07 12;34.5;42;26.3;15.7
2017 07 13;29.5;38.5;22.8;15.7
2017 07 14;27.4;36.6;21.3;15.3
2017 07 15;26.4;34.9;20.7;14.2
2017 07 16;26.5;34.9;20.9;14
2017 07 17;30.7;39.9;24.4;15.5
2017 07 18;36.2;41.8;29;12.8
2017 07 19;39.2;47.1;31.7;15.4
2017 07 20;40.8;49.2;30.8;18.4
2017 07 21;42.6;53.4;31.5;21.9
2017 07 22;40.2;52.8;29.4;23.4
2017 07 23;35.1;53.3;22;31.3
2017 07 24;31.5;44.8;20.9;23.9
2017 07 25;30;44.5;21.2;23.3
2017 07 26;32.5;46.4;21.8;24.6
2017 07 27;36.2;46.6;29.7;16.9
2017 07 28;37.9;48.1;32.2;15.9
2017 07 29;41.3;49.2;35.2;14
2017 07 30;43.5;50.2;38.6;11.6
2017 07 31;47.3;53.8;40.4;13.4
2017 08 01;47.7;56.8;37.4;19.4
2017 08 02;43.8;59.1;31.2;27.9
2017 08 03;44.1;52.2;36.6;15.6
2017 08 04;43;51.3;34.4;16.9
2017 08 05;41.1;51.1;33.6;17.5
2017 08 06;38.2;48.5;29.1;19.4
2017 08 07;41.1;54.2;31.3;22.9
2017 08 08;44;54.9;34.3;20.6
2017 08 09;42.5;52.8;34.1;18.7
2017 08 10;39;48.3;32.6;15.7
2017 08 11;33.8;45.5;25.5;20
2017 08 12;32.2;39.9;24.6;15.3
2017 08 13;33.2;41.5;26.9;14.6
2017 08 14;35.2;40.2;29.5;10.7
2017 08 15;35.5;42.5;28.4;14.1
2017 08 16;35.4;43.1;26.2;16.9
2017 08 17;35.4;42;27.5;14.5
2017 08 18;35.6;45.2;27.8;17.4
2017 08 19;32.1;41.6;23.1;18.5
2017 08 20;28.4;39.7;19.3;20.4
2017 08 21;29.7;41.4;20.3;21.1
2017 08 22;32.9;45;25;20
2017 08 23;33.7;45.1;25;20.1
2017 08 24;35;45.1;27.9;17.2
2017 08 25;35.7;44.9;28.8;16.1
2017 08 26;36.8;45.1;31;14.1
2017 08 27;36.7;43.1;31.1;12
2017 08 28;37.5;44.4;29.2;15.2
2017 08 29;38;47.4;31.6;15.8
2017 08 30;37.3;45.8;23.5;22.3
2017 08 31;37.4;44.2;29;15.2
2017 09 01;35.8;44.3;28.5;15.8
2017 09 02;31.6;41.1;23.3;17.8
2017 09 03;34.2;46.5;23.5;23
2017 09 04;39.6;49;33.6;15.4
2017 09 05;36.1;45.5;28.3;17.2
2017 09 06;33.4;44.6;27;17.6
2017 09 07;34.3;47.2;26.1;21.1
2017 09 08;38.9;49.7;30.4;19.3
2017 09 09;43.4;54;34.3;19.7
2017 09 10;39;45.6;31.7;13.9
2017 09 11;35.2;43.1;26.6;16.5
2017 09 12;37.7;47.9;32.4;15.5
2017 09 13;35.1;41.7;27.1;14.6
2017 09 14;35;44.3;29.7;14.6
2017 09 15;37.3;48.6;27.7;20.9
2017 09 16;41.9;55.5;33.1;22.4
2017 09 17;39.2;48.5;29.9;18.6
2017 09 18;39.9;51.5;32.2;19.3
2017 09 19;34.8;44.8;26.7;18.1
2017 09 20;33.3;44.4;22.7;21.7
2017 09 21;36.8;45.7;31.5;14.2
2017 09 22;33.1;39.4;26;13.4
2017 09 23;32.3;39.9;25;14.9
2017 09 24;32.5;38.7;27.2;11.5
2017 09 25;33.2;40;26.1;13.9
2017 09 26;34.5;41.5;28.5;13
2017 09 27;34.2;40.5;29.2;11.3
2017 09 28;31.8;37;27.8;9.2
2017 09 29;31.4;38.7;26;12.7
2017 09 30;33;41.4;28;13.4
2017 10 01;32.8;40.3;27.1;13.2
2017 10 02;31.5;40.2;25.6;14.6
2017 10 03;30;39.6;24.1;15.5
2017 10 04;28.7;38.2;21.9;16.3
2017 10 05;28.2;38.7;22.1;16.6
2017 10 06;25.2;34.8;18.6;16.2
2017 10 07;27.3;38.5;15.7;22.8
2017 10 08;35.9;45.5;26.3;19.2
2017 10 09;36.3;44.4;29.4;15
2017 10 10;37.2;45.5;29.3;16.2
2017 10 11;37.2;45.8;31.7;14.1
2017 10 12;34.5;41.3;28;13.3
2017 10 13;33.6;41.4;28.1;13.3
2017 10 14;32.5;39.8;24.9;14.9
2017 10 15;-9999.9;-9999.9;-9999.9;-9999.9
2017 10 16;30;39.8;23;16.8
2017 10 17;32.1;42;23.5;18.5
2017 10 18;38.4;54.7;27.4;27.3
2017 10 19;42.4;52.6;32.4;20.2
2017 10 20;40.9;48.7;33.3;15.4
2017 10 21;38.6;47.2;30.5;16.7
2017 10 22;31.5;41.1;21.7;19.4
2017 10 23;26.4;35.7;20.4;15.3
2017 10 24;28.9;38.6;21.5;17.1
2017 10 25;32.1;40.2;22.7;17.5
2017 10 26;34.2;43.3;27.8;15.5
2017 10 27;30.4;37.9;24.8;13.1
2017 10 28;29.4;38.1;22;16.1
2017 10 29;31.3;39.4;24.5;14.9
2017 10 30;34.8;47;25;22
2017 10 31;38.1;46.5;31.6;14.9
2017 11 01;40.1;48.8;33;15.8
2017 11 02;41.1;49.7;34.3;15.4
2017 11 03;42.9;51.3;33.9;17.4
2017 11 04;46.7;59.4;33.5;25.9
2017 11 05;39.8;54.5;23.7;30.8
2017 11 06;32.8;41.3;21.5;19.8
2017 11 07;37.9;51.1;28.1;23
2017 11 08;37.8;48.4;27.4;21
2017 11 09;34.7;46.1;26.4;19.7
2017 11 10;31.5;40.9;24;16.9
2017 11 11;33.6;44;24.4;19.6
2017 11 12;34;45.1;25.8;19.3
2017 11 13;28.7;36.8;18.7;18.1
2017 11 14;31.9;43;20.9;22.1
2017 11 15;39.5;50.7;28.1;22.6
2017 11 16;37.8;44.5;28.8;15.7
2017 11 17;35.3;41.9;27.4;14.5
2017 11 18;34.8;43.5;26.4;17.1
2017 11 19;32.9;42.2;25;17.2
2017 11 20;32.8;41.2;23.3;17.9
2017 11 21;35.5;44.6;26.7;17.9
2017 11 22;38.2;47.4;29;18.4
2017 11 23;38.9;49.7;32;17.7
2017 11 24;39;48;30.1;17.9
2017 11 25;37.4;49;29.9;19.1
2017 11 26;27.6;36.3;18.9;17.4
2017 11 27;26.9;36.7;16.7;20
2017 11 28;36.2;45.4;29;16.4
2017 11 29;41.3;52.3;35.1;17.2
2017 11 30;40.7;48.4;31.1;17.3
2017 12 01;39.3;46.7;27.3;19.4
2017 12 02;38.4;48.8;24.2;24.6
2017 12 03;34.4;44.7;23;21.7
2017 12 04;29.4;39.6;18.6;21
2017 12 05;26.4;38.4;16;22.4
2017 12 06;24.9;37.8;13.9;23.9
2017 12 07;23.3;36.8;14.9;21.9
2017 12 08;20.8;35.1;12.7;22.4
2017 12 09;19.4;30.6;11.1;19.5
2017 12 10;31.4;44.2;17.2;27
2017 12 11;42.9;58.7;16.8;41.9
2017 12 12;31.2;39.4;17;22.4
2017 12 13;22.4;28.8;15.1;13.7
2017 12 14;26.7;34.5;17.2;17.3
2017 12 15;29.8;38.3;18.5;19.8
2017 12 16;23;34.6;9.3;25.3
2017 12 17;14.3;22.8;5.8;17
2017 12 18;18.4;27.5;6.2;21.3
2017 12 19;22.2;33.8;10.1;23.7
2017 12 20;18.8;30.7;9.3;21.4
2017 12 21;16.2;27;7.6;19.4
2017 12 22;12.8;25.5;5.1;20.4
2017 12 23;13.2;23.8;3.3;20.5
2017 12 24;17;26.5;8.5;18
2017 12 25;23.7;34;13.8;20.2
2017 12 26;29;37.1;22.2;14.9
2017 12 27;26.9;38.4;16.1;22.3
2017 12 28;22.4;35.9;14.6;21.3
2017 12 29;20.9;27.3;6.2;21.1
2017 12 30;20;27;8.3;18.7
2017 12 31;-9999.9;33.2;10.6;22.6
2018 01 01;15.5;29.9;-1.2;31.1
2018 01 02;12.3;26.3;-2.8;29.1
2018 01 03;13.9;31.3;-1.9;33.2
2018 01 04;16.2;28.5;0.4;28.1
2018 01 05;30.3;41.7;12.5;29.2
2018 01 06;47.4;58.1;31.8;26.3
2018 01 07;51.9;62.7;44.5;18.2
2018 01 08;47.7;57.3;41.1;16.2
2018 01 09;41.1;48.7;30.6;18.1
2018 01 10;35.1;41.4;27.2;14.2
2018 01 11;29.3;36.5;17.7;18.8
2018 01 12;26.6;32;18.6;13.4
2018 01 13;31.6;38.2;21.3;16.9
2018 01 14;36.4;44.9;27.4;17.5
2018 01 15;32.8;42.8;21.4;21.4
2018 01 16;26.7;38.5;12.4;26.1
2018 01 17;18.1;33.2;1.6;31.6
2018 01 18;17.1;26;3.2;22.8
2018 01 19;22.4;34.4;10.3;24.1
2018 01 20;19.8;31.8;10.6;21.2
2018 01 21;12.8;24.5;4.1;20.4
2018 01 22;11.6;22.7;1.1;21.6
2018 01 23;17;25.3;6.2;19.1
2018 01 24;23.1;30.7;17.4;13.3
2018 01 25;28.8;35.1;23.4;11.7
2018 01 26;30.8;36.1;22.1;14
2018 01 27;24.3;31.3;12.4;18.9
2018 01 28;17;26.7;2.7;24
2018 01 29;9.6;20.3;-4.2;24.5
2018 01 30;5.2;16.3;-7.2;23.5
2018 01 31;6.5;16.3;-7.2;23.5
2018 02 01;15.5;27.5;-2.2;29.7
2018 02 02;20.7;34.4;6.6;27.8
2018 02 03;19.3;32;9.9;22.1
2018 02 04;26.5;37.6;14.7;22.9
2018 02 05;34.2;45.6;26.9;18.7
2018 02 06;32.1;39.8;26;13.8
2018 02 07;27.8;33.6;22;11.6
2018 02 08;28;33.9;23.5;10.4
2018 02 09;25.7;30.8;19.2;11.6
2018 02 10;17.5;23.9;9.1;14.8
2018 02 11;21.7;27.6;11.1;16.5
2018 02 12;25.9;34.2;15.6;18.6
2018 02 13;22.8;33.2;10.9;22.3
2018 02 14;23.9;37.1;12.6;24.5
2018 02 15;21.2;31.9;9.2;22.7
2018 02 16;22.4;32.9;8.3;24.6
2018 02 17;24.1;36.8;14;22.8
2018 02 18;19.9;29.3;11;18.3
2018 02 19;20.8;28.3;11.3;17
2018 02 20;24.4;33.3;17.4;15.9
2018 02 21;27.6;35;20.3;14.7
2018 02 22;34.1;42;27.4;14.6
2018 02 23;35.5;40.9;26.6;14.3
2018 02 24;36.4;40.9;31.2;9.7
2018 02 25;33.3;41.7;23.3;18.4
2018 02 26;32.2;36.9;27.2;9.7
2018 02 27;40.5;50.3;30.4;19.9
2018 02 28;52.6;62.4;35.3;27.1
2018 03 01;61.7;78;46.3;31.7
2018 03 02;55.2;66.9;41.2;25.7
2018 03 03;54.3;69.1;40.6;28.5
2018 03 04;56.3;70.5;43.1;27.4
2018 03 05;56.9;66.3;45.7;20.6
2018 03 06;56.1;63.7;46.3;17.4
2018 03 07;49.5;57.9;42.5;15.4
2018 03 08;47.6;56.4;40;16.4
2018 03 09;49.5;54.5;44.3;10.2
2018 03 10;51;56.7;43.5;13.2
2018 03 11;51.4;63.7;38.8;24.9
2018 03 12;40.4;52.3;26.7;25.6
2018 03 13;34;41.4;27.4;14
2018 03 14;40.1;45.5;28.8;16.7
2018 03 15;46.3;61.2;35.9;25.3
2018 03 16;41.5;51.3;32.7;18.6
2018 03 17;40.2;48.9;30.2;18.7
2018 03 18;42;55.8;31.6;24.2
2018 03 19;40.6;47.2;28.3;18.9
2018 03 20;40.7;54.8;30.8;24
2018 03 21;32.5;39.7;23.1;16.6
2018 03 22;28.1;34.7;22.3;12.4
2018 03 23;35.3;50.6;24;26.6
2018 03 24;46.5;54.3;40.8;13.5
2018 03 25;42.7;54.5;32.4;22.1
2018 03 26;34;45.8;24.4;21.4
2018 03 27;27.1;37.5;16.2;21.3
2018 03 28;-9999.9;-9999.9;-9999.9;-9999.9
2018 03 29;-9999.9;37.3;26;11.3
2018 03 30;38.9;48.9;28.6;20.3
2018 03 31;30.6;48.8;14.4;34.4
2018 04 01;23.3;32.5;10;22.5
2018 04 02;34.2;47.6;21.5;26.1
2018 04 03;40;47.1;32.2;14.9
2018 04 04;35.4;42.8;30;12.8
2018 04 05;26.1;34.1;17.9;16.2
2018 04 06;29.2;42.6;23.7;18.9
2018 04 07;41;52.5;35.5;17
2018 04 08;44.9;55.4;38.4;17
2018 04 09;39.5;51.6;30.9;20.7
2018 04 10;45.2;57.3;37.7;19.6
2018 04 11;51.7;65.4;43.4;22
2018 04 12;46.2;54.1;37.5;16.6
2018 04 13;44.1;56;34.9;21.1
2018 04 14;39.3;48.9;31.1;17.8
2018 04 15;37.1;45.2;30.5;14.7
2018 04 16;34.8;45.3;26.2;19.1
2018 04 17;28.5;37;19.9;17.1
2018 04 18;24.1;32.9;16;16.9
2018 04 19;21.5;31.1;13.5;17.6
2018 04 20;19.3;29.9;10.3;19.6
2018 04 21;21.7;33.5;14.9;18.6
2018 04 22;24.7;33.2;17.9;15.3
2018 04 23;23.8;33.7;15.8;17.9
2018 04 24;24.1;31.3;18.8;12.5
2018 04 25;25.2;36.4;19;17.4
2018 04 26;24.2;33.4;17.2;16.2
2018 04 27;26.5;34.3;20.6;13.7
2018 04 28;31.2;38.4;23;15.4
2018 04 29;33.3;45.5;26.8;18.7
2018 04 30;27.3;36.9;18.5;18.4
2018 05 01;27.2;37;20.3;16.7
2018 05 02;25.3;32.3;20.3;12
2018 05 03;23.1;33.3;12.4;20.9
2018 05 04;29.3;39.7;22.9;16.8
2018 05 05;30.6;39.2;23.8;15.4
2018 05 06;30.2;38.8;24.2;14.6
2018 05 07;30.5;39.2;24.1;15.1
2018 05 08;32.2;40.4;27.4;13
2018 05 09;34.1;40.6;29.5;11.1
2018 05 10;34;42.8;28.3;14.5
2018 05 11;34.4;40.6;28.8;11.8
2018 05 12;36.3;43.5;27.2;16.3
2018 05 13;32.3;41.3;23.6;17.7
2018 05 14;31.1;41.2;23.6;17.6
2018 05 15;30.4;39.9;22.2;17.7
2018 05 16;25.7;35.1;15.3;19.8
2018 05 17;24.7;36.8;15.5;21.3
2018 05 18;25.8;38.7;15.7;23
2018 05 19;29.2;41.8;22.4;19.4
2018 05 20;32.5;45;24.6;20.4
2018 05 21;35.9;48;29.6;18.4
2018 05 22;36.4;48.1;30;18.1
2018 05 23;34.7;44;27.3;16.7
2018 05 24;36.3;45.2;29.8;15.4
2018 05 25;40.2;46.1;33.1;13
2018 05 26;43.4;51.2;33.3;17.9
2018 05 27;45.7;54.9;36.3;18.6
2018 05 28;45.1;53.4;36.3;17.1
2018 05 29;41.6;50.5;32.1;18.4
2018 05 30;38.9;49.8;30.3;19.5
2018 05 31;35.4;44.6;26.4;18.2
2018 06 01;33.1;44.2;25;19.2
2018 06 02;33.3;46.7;23.8;22.9
2018 06 03;35.2;46.9;27.7;19.2
2018 06 04;34.7;44.1;26.7;17.4
2018 06 05;34.5;44.3;29.5;14.8
2018 06 06;34.5;44;29.5;14.5
2018 06 07;33.1;42.5;29;13.5
2018 06 08;32.5;39.2;26.4;12.8
2018 06 09;33.3;50.9;19.7;31.2
2018 06 10;32.9;49.6;18;31.6
2018 06 11;33.9;44.2;23.2;21
2018 06 12;31.2;40.9;21.7;19.2
2018 06 13;27.4;38.4;17.3;21.1
2018 06 14;27.4;41.1;17.4;23.7
2018 06 15;31.2;45.4;22.4;23
2018 06 16;33.1;46.8;23.4;23.4
2018 06 17;31.7;43.5;23.5;20
2018 06 18;28.9;42;19.7;22.3
2018 06 19;30.3;41.3;24.2;17.1
2018 06 20;33.6;42.2;26.8;15.4
2018 06 21;35.9;45.3;30.8;14.5
2018 06 22;34.9;43;29.4;13.6
2018 06 23;33.3;39;25.9;13.1
2018 06 24;35.2;42.1;28.6;13.5
2018 06 25;35.3;43.5;26.8;16.7
2018 06 26;33.1;41;24.1;16.9
2018 06 27;34.3;45.3;25.9;19.4
2018 06 28;38.9;50.2;31.4;18.8
2018 06 29;40.9;52.7;30.8;21.9
2018 06 30;42.9;55.4;33.4;22
2018 07 01;46.6;63;38.8;24.2
2018 07 02;43.9;55.7;35.2;20.5
2018 07 03;38.6;48.7;29.9;18.8
2018 07 04;37.8;48.7;29.8;18.9
2018 07 05;34.8;47.6;28;19.6
2018 07 06;31.4;41.1;24.8;16.3
2018 07 07;31.6;39.8;27.1;12.7
2018 07 08;31.1;38.2;22.7;15.5
2018 07 09;32.2;40;24.1;15.9
2018 07 10;34;42.9;25.8;17.1
2018 07 11;36.2;49.6;26.8;22.8
2018 07 12;37.1;49.4;26.1;23.3
2018 07 13;35.5;51.9;19.7;32.2
2018 07 14;33.8;47;22.9;24.1
2018 07 15;34.6;51.9;23.4;28.5
2018 07 16;34.8;47.4;21.5;25.9
2018 07 17;32;45;22.2;22.8
2018 07 18;35.1;46.2;28.4;17.8
2018 07 19;34.3;44.1;28.7;15.4
2018 07 20;34.8;43.3;26.1;17.2
2018 07 21;37.5;45.6;28.9;16.7
2018 07 22;36.3;44.9;26;18.9
2018 07 23;32.9;38.3;26.4;11.9
2018 07 24;31.7;40.7;25.8;14.9
2018 07 25;33.7;43.5;26.2;17.3
2018 07 26;38.2;49.7;30;19.7
2018 07 27;40.2;49.9;31.7;18.2
2018 07 28;38;47.5;30.2;17.3
2018 07 29;35.9;46.3;28.1;18.2
2018 07 30;35.1;46.2;27.8;18.4
2018 07 31;34;43.2;27.3;15.9
2018 08 01;32.7;41;26.5;14.5
2018 08 02;32.1;41.1;26.4;14.7
2018 08 03;32.4;40.6;27.4;13.2
2018 08 04;33.5;39.9;28.2;11.7
2018 08 05;36;41;29;12
2018 08 06;39.5;46;32.6;13.4
2018 08 07;40.2;47.9;33.8;14.1
2018 08 08;39.3;48.2;29.2;19
2018 08 09;38;49.5;27.6;21.9
2018 08 10;35.2;49.8;24;25.8
2018 08 11;35.1;49.4;24;25.4
2018 08 12;35.8;49.2;26.5;22.7
2018 08 13;34.9;46.9;25.7;21.2
2018 08 14;32.1;44.2;23.9;20.3
2018 08 15;33.1;44.7;23.7;21
2018 08 16;37.6;46.4;31.5;14.9
2018 08 17;38;44.4;31.5;12.9
2018 08 18;35.9;42.1;30;12.1
2018 08 19;34.5;39.5;28;11.5
2018 08 20;35.9;42.9;27.5;15.4
2018 08 21;39.3;48.3;31.2;17.1
2018 08 22;40.8;48.2;34.3;13.9
2018 08 23;39.6;48.6;33.1;15.5
2018 08 24;37.1;48.5;29.5;19
2018 08 25;38.2;50.6;30.5;20.1
2018 08 26;40.6;51.2;33.9;17.3
2018 08 27;38.7;47.4;30.4;17
2018 08 28;38.1;49.8;30;19.8
2018 08 29;38.4;46.5;31.7;14.8
2018 08 30;38.8;48.5;31.8;16.7
2018 08 31;39.1;45.9;33.4;12.5
2018 09 01;37.3;42.3;31.6;10.7
2018 09 02;37.5;43.5;30.7;12.8
2018 09 03;38.6;49.2;29.4;19.8
2018 09 04;40.4;48.5;31.1;17.4
2018 09 05;43.8;53.5;35.3;18.2
2018 09 06;44.5;55.7;34.7;21
2018 09 07;41.5;53.3;31.7;21.6
2018 09 08;40.2;53.3;27.6;25.7
2018 09 09;39.5;53.6;29.4;24.2
2018 09 10;37;49;26.6;22.4
2018 09 11;35.4;50.2;23.3;26.9
2018 09 12;35.6;46.1;27.1;19
2018 09 13;36.2;43.9;27.6;16.3
2018 09 14;36.3;43.3;30.5;12.8
2018 09 15;36.5;41.8;29.9;11.9
2018 09 16;37;44.3;31;13.3
2018 09 17;37.3;43.7;29.8;13.9
2018 09 18;40;47.8;33.7;14.1
2018 09 19;39.1;46;32.5;13.5
2018 09 20;38.9;47.4;32.5;14.9
2018 09 21;38.5;47.1;32.5;14.6
2018 09 22;35.4;44.7;26.9;17.8
2018 09 23;36;46.4;30.5;15.9
2018 09 24;32.5;41.8;26.4;15.4
2018 09 25;33.9;44.7;23.1;21.6
2018 09 26;41.1;49.6;35.3;14.3
2018 09 27;37.1;41.9;30.4;11.5
2018 09 28;40;49.1;31.8;17.3
2018 09 29;44.4;51.5;37.5;14
2018 09 30;42.6;50.6;37.3;13.3
2018 10 01;36.1;43.4;30.7;12.7
2018 10 02;36.7;43.1;26;17.1
2018 10 03;42.3;51.5;37.5;14
2018 10 04;43.2;52.6;35.5;17.1
2018 10 05;45.3;55.6;37.9;17.7
2018 10 06;45.4;55.8;39.1;16.7
2018 10 07;42.4;53;33.8;19.2
2018 10 08;44.3;56.9;34.9;22
2018 10 09;50.6;63.2;38.7;24.5
2018 10 10;55.3;63.9;46.3;17.6
2018 10 11;52.1;60.8;44.9;15.9
2018 10 12;46.5;53.2;41;12.2
2018 10 13;47.5;54.4;38.4;16
2018 10 14;53.4;61.8;45.1;16.7
2018 10 15;53.9;60.1;48.9;11.2
2018 10 16;52.3;58.6;46;12.6
2018 10 17;55.5;63.5;48.9;14.6
2018 10 18;58.1;66.9;51.3;15.6
2018 10 19;55;62.7;46.9;15.8
2018 10 20;46.9;53.4;39.3;14.1
2018 10 21;41.6;50.2;36.4;13.8
2018 10 22;35.9;44.2;26.6;17.6
2018 10 23;30.3;38.6;23.3;15.3
2018 10 24;32.3;41.9;24.8;17.1
2018 10 25;38.7;49.1;27.2;21.9
2018 10 26;47.1;56.5;36;20.5
2018 10 27;54.3;63.3;42.4;20.9
2018 10 28;58.5;71.1;49.9;21.2
2018 10 29;55.5;73.2;47.4;25.8
2018 10 30;52.6;59.9;39.1;20.8
2018 10 31;56.1;70.2;45.4;24.8
2018 11 01;45.1;52.7;31.3;21.4
2018 11 02;40.3;49.7;35.7;14
2018 11 03;44;52.2;38;14.2
2018 11 04;52.2;63.6;40.7;22.9
2018 11 05;58.5;71.6;47.5;24.1
2018 11 06;54.3;61.7;44.6;17.1
2018 11 07;52.1;61.4;42;19.4
2018 11 08;52;59.5;42.3;17.2
2018 11 09;51.2;64.8;41.8;23
2018 11 10;50.2;58;40;18
2018 11 11;52.6;63.1;44.8;18.3
2018 11 12;51.2;60.8;43;17.8
2018 11 13;45.7;54.9;39.1;15.8
2018 11 14;42.5;50.4;35.9;14.5
2018 11 15;41.9;50.2;36.3;13.9
2018 11 16;40.3;47.6;35.8;11.8
2018 11 17;44.5;53;38.2;14.8
2018 11 18;52.9;60.5;45.9;14.6
2018 11 19;65.4;74.6;54;20.6
2018 11 20;69.3;78;57.2;20.8
2018 11 21;58.2;65.5;44.1;21.4
2018 11 22;52.9;60.5;41.7;18.8
2018 11 23;54.5;67.7;41.5;26.2
2018 11 24;51.7;64.1;41.4;22.7
2018 11 25;51.8;67;41.3;25.7
2018 11 26;47.3;66.9;34.8;32.1
2018 11 27;36.5;46.3;29.6;16.7
2018 11 28;37.9;50.7;26.5;24.2
2018 11 29;43.5;53.1;32.2;20.9
2018 11 30;45.5;55.9;38;17.9
2018 12 01;44.2;52.1;37.3;14.8
2018 12 02;44.4;53.1;35.7;17.4
2018 12 03;39.6;45.9;26.8;19.1
2018 12 04;33.7;40.8;23.7;17.1
2018 12 05;33.8;42.1;24.2;17.9
2018 12 06;31.7;41;19.6;21.4
2018 12 07;32;40.3;18.5;21.8
2018 12 08;31;43.4;18.9;24.5
2018 12 09;26.3;38.5;17.7;20.8
2018 12 10;23.4;33.2;15.7;17.5
2018 12 11;29.8;39.8;15.9;23.9
2018 12 12;39.2;50;27.8;22.2
2018 12 13;47.5;59.6;34.8;24.8
2018 12 14;46.2;53.6;38.7;14.9
2018 12 15;41.9;50.1;35.2;14.9
2018 12 16;40;53;29.5;23.5
2018 12 17;28.1;35.4;14.7;20.7
2018 12 18;29.9;41.2;16.4;24.8
2018 12 19;36;43.6;24.1;19.5
2018 12 20;33;38.3;23.5;14.8
2018 12 21;32.6;43.4;21;22.4
2018 12 22;27.1;39.7;14.4;25.3
2018 12 23;26.5;38.4;14.2;24.2
2018 12 24;24.5;37.7;13.2;24.5
2018 12 25;22.6;35.1;10.3;24.8
2018 12 26;25.8;37.7;15.2;22.5
2018 12 27;28.2;40;18.9;21.1
2018 12 28;28.7;39;22.1;16.9
2018 12 29;26.3;36;18.5;17.5
2018 12 30;22.8;30.2;15.4;14.8
2018 12 31;-9999.9;28.4;13.5;14.9
2019 01 01;20.1;24.7;12.6;12.1
2019 01 02;19;25.5;10.5;15
2019 01 03;19.7;24;11.7;12.3
2019 01 04;24.9;33.5;15.1;18.4
2019 01 05;23.9;33.4;14.3;19.1
2019 01 06;23.7;32.3;14.2;18.1
2019 01 07;25.9;37.4;16.1;21.3
2019 01 08;23.8;36.2;14.1;22.1
2019 01 09;21.9;31.9;14.1;17.8
2019 01 10;27;35.3;13.8;21.5
2019 01 11;28.5;40.5;22;18.5
2019 01 12;22.1;29.4;15.5;13.9
2019 01 13;999.9;999.9;999.9;999.9
2019 01 14;999.9;27.9;10.1;17.8
2019 01 15;25.7;33.8;14.9;18.9
2019 01 16;36.5;43.2;30.3;12.9
2019 01 17;36.8;43;26.2;16.8
2019 01 18;34;40.7;25.6;15.1
2019 01 19;37.3;43.8;26.8;17
2019 01 20;40.1;53.1;26.3;26.8
2019 01 21;33.6;47.7;18;29.7
2019 01 22;32.8;41.9;16.8;25.1
2019 01 23;37.1;56.8;27.4;29.4
2019 01 24;27.9;39.6;17.4;22.2
2019 01 25;26.5;39.5;15.5;24
2019 01 26;33.3;43.3;23.2;20.1
2019 01 27;37.3;48.6;29;19.6
2019 01 28;34.6;41.8;25.2;16.6
2019 01 29;32.8;38.8;22.7;16.1
2019 01 30;34.5;38.8;25.7;13.1
2019 01 31;47.5;54.9;32;22.9
2019 02 01;57.2;63;47.9;15.1
2019 02 02;47.6;63.8;29.5;34.3
2019 02 03;32;43.1;20.9;22.2
2019 02 04;26.1;37.3;15.4;21.9
2019 02 05;24.2;35.6;14.4;21.2
2019 02 06;25.3;31.8;13.9;17.9
2019 02 07;29.7;42;20.5;21.5
2019 02 08;29.4;38.7;20.2;18.5
2019 02 09;31.3;39.2;22.5;16.7
2019 02 10;31;40.9;24.7;16.2
2019 02 11;19.7;27.1;11.3;15.8
2019 02 12;13.7;19.7;7.3;12.4
2019 02 13;14.5;20.5;8.3;12.2
2019 02 14;13.2;18;6.4;11.6
2019 02 15;13.5;18.7;6.1;12.6
2019 02 16;16.3;22.2;7.9;14.3
2019 02 17;20;26.8;10.2;16.6
2019 02 18;22.6;32.5;11.1;21.4
2019 02 19;21.4;33.8;10.5;23.3
2019 02 20;17.5;31.7;7.1;24.6
2019 02 21;13.6;25.6;4.3;21.3
2019 02 22;11.3;22.4;1.8;20.6
2019 02 23;11.9;21.3;2.4;18.9
2019 02 24;14.1;25;7.6;17.4
2019 02 25;12.6;19.1;4.9;14.2
2019 02 26;14.1;22.1;8.6;13.5
2019 02 27;16.2;19.7;11;8.7
2019 02 28;18.7;23.8;14.1;9.7
2019 03 01;19.1;24.5;12.9;11.6
2019 03 02;19.4;26.5;13;13.5
2019 03 03;24.8;31.4;14.4;17
2019 03 04;29.4;39.9;19.6;20.3
2019 03 05;31.1;39.4;18.9;20.5
2019 03 06;40.4;51.3;27.1;24.2
2019 03 07;37;46.8;24.7;22.1
2019 03 08;28.7;40.6;19.2;21.4
2019 03 09;23.6;33;16.3;16.7
2019 03 10;21.1;30.2;15.6;14.6
2019 03 11;13.7;20.5;7.3;13.2
2019 03 12;11.6;25.9;2.3;23.6
2019 03 13;15.8;25.3;9.1;16.2
2019 03 14;10.3;19.2;1.4;17.8
2019 03 15;14.3;21.2;11.4;9.8
2019 03 16;23.7;27.3;18.5;8.8
2019 03 17;27.8;39.4;15.7;23.7
2019 03 18;20.6;31.3;8.7;22.6
2019 03 19;19;28.9;9.4;19.5
