Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2012 09 29;47.2;56;38.2;17.8
2012 09 30;40.8;47;33.2;13.8
2012 10 01;36.7;44.9;29.6;15.3
2012 10 02;34.9;41.3;27.3;14
2012 10 03;36;43.8;29.3;14.5
2012 10 04;34.9;43.7;28.9;14.8
2012 10 05;33.5;41.4;26.4;15
2012 10 06;34.4;42.1;27.5;14.6
2012 10 07;32.1;38.5;27.3;11.2
2012 10 08;30.5;37.1;22.9;14.2
2012 10 09;31;38.5;26.1;12.4
2012 10 10;31.2;38.8;24.6;14.2
2012 10 11;35.3;47.6;28.5;19.1
2012 10 12;35.3;42.2;28.2;14
2012 10 13;35.7;45.2;28.9;16.3
2012 10 14;40.6;52.9;29.6;23.3
2012 10 15;37.4;46.9;26;20.9
2012 10 16;34.9;44.1;24;20.1
2012 10 17;40;51.6;30.5;21.1
2012 10 18;44.2;54;32.2;21.8
2012 10 19;47.5;62.1;35.5;26.6
2012 10 20;50.5;63.5;34.8;28.7
2012 10 21;50.2;60.5;41.7;18.8
2012 10 22;44.5;53.3;38.1;15.2
2012 10 23;41.2;50.9;35.3;15.6
2012 10 24;40.5;49.9;34.4;15.5
2012 10 25;46;54.1;37.9;16.2
2012 10 26;54.4;63.1;43.3;19.8
2012 10 27;48.1;57.9;31.1;26.8
2012 10 28;36.7;42.9;29.8;13.1
2012 10 29;40.2;48.6;30.9;17.7
2012 10 30;50.8;61;33.9;27.1
2012 10 31;56.3;69.4;45.6;23.8
2012 11 01;52.1;60.4;44.4;16
2012 11 02;50.8;58.5;43.1;15.4
2012 11 03;55.1;65.8;43.2;22.6
2012 11 04;56.3;69.3;47.6;21.7
2012 11 05;44.2;53.6;32.4;21.2
2012 11 06;34.8;45.7;27.1;18.6
2012 11 07;28.4;36.2;19.4;16.8
2012 11 08;28.8;38.9;21.7;17.2
2012 11 09;34.5;48.2;15.6;32.6
2012 11 10;40.8;50.1;29.9;20.2
2012 11 11;41;48.8;29.4;19.4
2012 11 12;36;45.7;23.2;22.5
2012 11 13;36.7;46.8;23.3;23.5
2012 11 14;39.9;54.3;28.6;25.7
2012 11 15;32.6;44.6;22;22.6
2012 11 16;29.9;43.6;19.1;24.5
2012 11 17;34.6;47.1;22.7;24.4
2012 11 18;37.6;51.4;30.2;21.2
2012 11 19;32.5;44;25;19
2012 11 20;29.9;38.8;24;14.8
2012 11 21;27.9;38.1;19.6;18.5
2012 11 22;25.3;32.7;20.1;12.6
2012 11 23;27.9;34.6;23;11.6
2012 11 24;28;32.7;22;10.7
2012 11 25;28.8;33.3;22.8;10.5
2012 11 26;33;40.3;24.7;15.6
2012 11 27;37.8;46.2;25.8;20.4
2012 11 28;38.9;51.6;27.1;24.5
2012 11 29;34.6;44.4;25.8;18.6
2012 11 30;39;51.4;25.8;25.6
2012 12 01;35.4;48;22.6;25.4
2012 12 02;24.5;35.9;15.5;20.4
2012 12 03;21.1;29.6;11.3;18.3
2012 12 04;21.7;32.7;7.8;24.9
2012 12 05;19.7;27.4;14.9;12.5
2012 12 06;19.4;27;13;14
2012 12 07;24.2;33;17.1;15.9
2012 12 08;21.9;30.1;6.9;23.2
2012 12 09;-9999.9;-9999.9;-9999.9;-9999.9
2012 12 10;-9999.9;29.8;13.9;15.9
2012 12 11;23.8;31.2;15.7;15.5
2012 12 12;30.8;39;17;22
2012 12 13;37.1;47.7;26.5;21.2
2012 12 14;36.4;51.6;25.3;26.3
2012 12 15;31.1;49;17.7;31.3
2012 12 16;25.8;39.9;14;25.9
2012 12 17;22.1;38.3;13.8;24.5
2012 12 18;16.7;27.7;6.8;20.9
2012 12 19;22.4;32.4;12.5;19.9
2012 12 20;27.6;39.9;18.6;21.3
2012 12 21;25.5;33.6;16.2;17.4
2012 12 22;25.5;31.7;16.7;15
2012 12 23;29.9;34.7;23.6;11.1
2012 12 24;34.7;39.5;26.1;13.4
2012 12 25;37;43.6;26.7;16.9
2012 12 26;28.5;39.3;11.9;27.4
2012 12 27;20;30.5;9.2;21.3
2012 12 28;15;26.1;4.1;22
2012 12 29;16.5;28.1;3.1;25
2012 12 30;16.1;27.5;5;22.5
2012 12 31;-9999.9;27.1;4.5;22.6
2013 01 01;24.4;35.8;16.8;19
2013 01 02;20.5;29.9;13.7;16.2
2013 01 03;15;25.7;6.8;18.9
2013 01 04;9.6;19.2;3.9;15.3
2013 01 05;6.2;13.7;-1.2;14.9
2013 01 06;7.7;15.1;0.4;14.7
2013 01 07;13.1;19.7;6.4;13.3
2013 01 08;17.1;23.7;6.9;16.8
